                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3269,                 4.9153,                 4.2391,                0.00139,                0.22857,                0.00403,                0.00119,                 4.8124,                 4.4465,                 4.1428,                 0.0766,                 0.0026,                 0.0026
                      2,                 4.3521,                 4.7778,                  4.183,                0.00145,                0.23452,                0.00446,                0.00131,                 4.8166,                  4.347,                 4.1163,               0.052283,              0.0052825,              0.0052825
                      3,                 4.2832,                 4.5955,                 4.1211,                0.00136,                0.23452,                0.00435,                0.00138,                 4.7898,                 4.2476,                 4.0889,               0.027947,              0.0079472,              0.0079472
                      4,                 4.2038,                 4.3456,                 3.9811,                0.00142,                0.24048,                0.00535,                0.00133,                 4.7513,                 4.5547,                 4.1384,               0.009901,               0.009901,               0.009901
                      5,                 3.8151,                 4.0868,                 3.6917,                0.00331,                0.21587,                0.00333,                0.00093,                 4.5997,                 4.8001,                 4.0762,               0.009901,               0.009901,               0.009901
                      6,                 3.5188,                 3.8334,                 3.4301,                 0.4453,                0.03251,                0.00922,                0.00237,                 3.5766,                 3.8246,                  3.165,               0.009868,               0.009868,               0.009868
                      7,                 3.3337,                 3.6404,                 3.2182,                0.29567,                0.10952,                0.00851,                0.00247,                 3.3749,                 9.7031,                  3.061,               0.009835,               0.009835,               0.009835
                      8,                 3.2013,                 3.4948,                 3.0852,                0.32839,                0.08882,                 0.0174,                 0.0041,                 3.3847,                 6.5506,                 3.1057,               0.009802,               0.009802,               0.009802
                      9,                 3.1382,                 3.3542,                 2.9885,                0.01829,                0.23827,                0.04515,                0.02131,                 3.1567,                  17.39,                 2.8605,               0.009769,               0.009769,               0.009769
                     10,                 3.1164,                 3.3111,                 2.9399,                0.31936,                0.03225,                0.00729,                0.00188,                 3.3305,                 8.4912,                 2.8376,               0.009736,               0.009736,               0.009736
                     11,                 3.0199,                 3.2721,                 2.8251,                0.73076,                0.01071,                0.01534,                0.00352,                 3.2874,                 5.0331,                 2.8251,               0.009703,               0.009703,               0.009703
                     12,                 2.9626,                 3.1472,                 2.7691,                0.72147,                0.03571,                0.00825,                0.00301,                 3.6608,                 4.6243,                 3.4726,                0.00967,                0.00967,                0.00967
                     13,                  2.893,                 3.1623,                 2.7308,                0.47282,                0.02381,                0.04122,                0.01191,                 3.1853,                 4.8023,                 2.7653,               0.009637,               0.009637,               0.009637
                     14,                 2.8434,                 3.0748,                 2.6672,                0.01246,                0.09003,                0.01312,                0.00316,                 3.4324,                 3.6308,                 2.9444,               0.009604,               0.009604,               0.009604
                     15,                 2.7946,                  3.021,                 2.6666,                0.21669,                0.06664,                0.06252,                 0.0201,                 2.8866,                 3.4801,                 2.5436,               0.009571,               0.009571,               0.009571
                     16,                 2.6993,                 2.9701,                 2.6133,                0.17026,                0.10368,                  0.077,                0.03463,                 2.8539,                 3.8251,                  2.533,               0.009538,               0.009538,               0.009538
                     17,                 2.6618,                  2.886,                 2.5711,                0.08775,                0.12426,                0.06864,                0.02218,                 3.0075,                 3.3283,                 2.6514,               0.009505,               0.009505,               0.009505
                     18,                 2.6332,                 2.8188,                 2.5038,                0.09234,                0.10181,                0.06624,                0.02428,                 3.0129,                 3.4078,                 2.6232,               0.009472,               0.009472,               0.009472
                     19,                  2.591,                 2.7875,                 2.4739,                0.23699,                0.17135,                0.05737,                0.02044,                 2.8629,                 3.5705,                 2.4884,               0.009439,               0.009439,               0.009439
                     20,                  2.532,                 2.7531,                 2.4585,                0.30343,                0.20651,                0.14277,                0.05531,                 2.6598,                  2.818,                 2.3966,               0.009406,               0.009406,               0.009406
                     21,                 2.4772,                  2.663,                 2.4243,                0.35442,                 0.0975,                0.07447,                0.02923,                 3.0217,                 3.4787,                 2.7275,               0.009373,               0.009373,               0.009373
                     22,                 2.4612,                 2.6696,                   2.39,                0.30421,                 0.2574,                0.19115,                0.07324,                 2.6189,                 3.0518,                 2.2891,                0.00934,                0.00934,                0.00934
                     23,                 2.4303,                  2.563,                 2.3573,                0.38158,                0.24346,                0.19889,                0.09106,                 2.5525,                 2.7346,                 2.2634,               0.009307,               0.009307,               0.009307
                     24,                 2.3915,                 2.5261,                 2.2908,                 0.3205,                0.25052,                0.19539,                0.08064,                 2.5546,                 2.6895,                 2.3316,               0.009274,               0.009274,               0.009274
                     25,                 2.3315,                 2.5232,                 2.2792,                0.49758,                0.12148,                0.12613,                0.04399,                  2.637,                 2.8504,                 2.3615,               0.009241,               0.009241,               0.009241
                     26,                 2.2614,                 2.4368,                 2.2437,                0.40261,                0.20405,                 0.1705,                0.08263,                 2.5288,                  2.954,                 2.3218,               0.009208,               0.009208,               0.009208
                     27,                 2.2626,                 2.4131,                 2.2427,                0.39067,                0.32541,                0.27451,                0.12473,                 2.3631,                 2.4813,                 2.1292,               0.009175,               0.009175,               0.009175
                     28,                 2.2025,                 2.3668,                 2.1987,                0.33405,                0.17755,                0.16129,                0.07142,                 2.4665,                 2.8506,                 2.2045,               0.009142,               0.009142,               0.009142
                     29,                 2.1734,                 2.3463,                  2.178,                0.54155,                 0.1407,                0.16585,                0.06369,                  2.653,                 2.8413,                 2.3316,               0.009109,               0.009109,               0.009109
                     30,                 2.1816,                 2.3649,                 2.1699,                0.50117,                0.34093,                0.31538,                0.12839,                 2.4406,                 2.5793,                 2.2147,               0.009076,               0.009076,               0.009076
                     31,                 2.1318,                 2.2903,                  2.122,                0.49138,                0.20821,                 0.2349,                0.10923,                  2.456,                 2.7508,                 2.2357,               0.009043,               0.009043,               0.009043
                     32,                 2.1101,                 2.2874,                  2.109,                0.54625,                0.23005,                0.25809,                0.11959,                 2.3744,                 2.5572,                  2.155,                0.00901,                0.00901,                0.00901
                     33,                 2.0984,                 2.2372,                 2.1114,                0.39025,                0.25332,                0.20144,                0.09914,                 2.3694,                 2.6675,                 2.2052,               0.008977,               0.008977,               0.008977
                     34,                 2.0508,                 2.2606,                 2.0867,                0.39117,                0.24659,                 0.1929,                0.08738,                 2.4076,                 2.8617,                 2.1943,               0.008944,               0.008944,               0.008944
                     35,                 2.0715,                 2.1887,                 2.0752,                0.36822,                0.20258,                0.17348,                0.07176,                 2.5326,                 2.7292,                 2.3195,               0.008911,               0.008911,               0.008911
                     36,                 2.0237,                   2.19,                 2.0707,                0.41482,                0.27033,                 0.1908,                0.08814,                 2.4398,                 2.8711,                   2.31,               0.008878,               0.008878,               0.008878
                     37,                 1.9917,                 2.1749,                 2.0248,                0.48442,                0.35373,                0.27695,                0.14714,                 2.3141,                 2.7256,                  2.157,               0.008845,               0.008845,               0.008845
                     38,                  1.957,                  2.159,                 2.0311,                0.43365,                0.31154,                0.26772,                0.13223,                 2.2955,                 2.7125,                 2.1657,               0.008812,               0.008812,               0.008812
                     39,                 1.9673,                 2.1321,                 2.0059,                0.46346,                0.35688,                0.30679,                0.14995,                 2.3373,                 2.3904,                 2.1867,               0.008779,               0.008779,               0.008779
                     40,                 1.9524,                 2.1277,                 2.0015,                0.57732,                 0.3213,                0.34321,                0.15861,                 2.2811,                 2.3957,                 2.0959,               0.008746,               0.008746,               0.008746
                     41,                 1.9551,                  2.114,                 1.9953,                 0.4137,                0.23434,                0.28475,                0.12525,                 2.3555,                 2.6705,                 2.1976,               0.008713,               0.008713,               0.008713
                     42,                 1.9301,                  2.088,                 1.9661,                0.52215,                0.31998,                0.31578,                0.14703,                 2.2527,                 2.6214,                  2.109,                0.00868,                0.00868,                0.00868
                     43,                  1.932,                 2.0693,                  1.959,                 0.5724,                0.31126,                0.32371,                0.14999,                  2.233,                 2.6154,                 2.1178,               0.008647,               0.008647,               0.008647
                     44,                 1.9167,                 2.0489,                 1.9512,                0.60149,                 0.3577,                0.38466,                0.19302,                 2.1138,                 2.3041,                 2.0121,               0.008614,               0.008614,               0.008614
                     45,                 1.9011,                 2.0038,                 1.9431,                 0.4702,                0.36892,                0.37079,                0.19367,                 2.0503,                 2.3643,                 1.9538,               0.008581,               0.008581,               0.008581
                     46,                 1.8735,                 2.0949,                 1.9574,                0.60932,                0.28151,                0.33172,                0.17003,                 2.1912,                 2.5736,                  2.018,               0.008548,               0.008548,               0.008548
                     47,                 1.8835,                 2.0411,                 1.9473,                0.43124,                0.24146,                0.20104,                0.09989,                 2.3789,                 2.8356,                 2.2227,               0.008515,               0.008515,               0.008515
                     48,                 1.8892,                 2.0106,                 1.9343,                0.42208,                0.25175,                 0.2389,                0.12335,                 2.2905,                 2.6807,                 2.1846,               0.008482,               0.008482,               0.008482
                     49,                 1.8451,                 1.9704,                 1.9135,                0.54733,                 0.3559,                0.35954,                0.16354,                 2.1402,                 2.4171,                 1.9887,               0.008449,               0.008449,               0.008449
                     50,                  1.839,                  2.017,                 1.9172,                0.51384,                0.35753,                0.34925,                0.16708,                 2.1602,                 2.4561,                 2.0486,               0.008416,               0.008416,               0.008416
                     51,                 1.8325,                 1.9587,                 1.8756,                0.39254,                0.28488,                0.25702,                0.14099,                 2.1702,                 2.7814,                 2.0953,               0.008383,               0.008383,               0.008383
                     52,                 1.8139,                 1.9611,                 1.8741,                0.56187,                0.31808,                0.33991,                0.17025,                 2.0754,                 2.3516,                 1.9827,                0.00835,                0.00835,                0.00835
                     53,                 1.8022,                 1.9097,                 1.8677,                0.59734,                0.32517,                0.36731,                0.19024,                  2.033,                 2.2971,                 1.9435,               0.008317,               0.008317,               0.008317
                     54,                 1.8006,                 1.9021,                 1.8581,                 0.3892,                0.29891,                0.31939,                0.15098,                 2.1032,                 2.4456,                 1.9813,               0.008284,               0.008284,               0.008284
                     55,                 1.8121,                 1.9272,                 1.8627,                0.58943,                0.31502,                0.30687,                0.14611,                 2.1862,                 2.4467,                 2.0677,               0.008251,               0.008251,               0.008251
                     56,                 1.7817,                 1.8947,                 1.8423,                0.50884,                0.32143,                0.30564,                0.15828,                 2.1742,                 2.5638,                 2.1086,               0.008218,               0.008218,               0.008218
                     57,                 1.7779,                 1.8772,                 1.8319,                0.44959,                0.31186,                0.29967,                0.13732,                 2.2886,                 2.5498,                 2.1532,               0.008185,               0.008185,               0.008185
                     58,                 1.7827,                 1.8838,                 1.8346,                 0.6274,                0.37572,                0.39507,                0.18427,                 2.1163,                 2.3046,                  2.007,               0.008152,               0.008152,               0.008152
                     59,                 1.7879,                 1.8892,                 1.8436,                0.53624,                0.29756,                0.31897,                0.15103,                 2.2193,                 2.6047,                  2.144,               0.008119,               0.008119,               0.008119
                     60,                 1.7355,                  1.853,                 1.8022,                 0.5533,                0.31068,                0.31869,                0.15705,                 2.0808,                 2.4366,                 2.0025,               0.008086,               0.008086,               0.008086
                     61,                 1.7429,                 1.8386,                 1.8083,                0.56164,                0.37544,                0.39347,                0.22091,                  2.048,                 2.2188,                 1.9475,               0.008053,               0.008053,               0.008053
                     62,                 1.7347,                 1.8596,                 1.8095,                0.54489,                0.30241,                0.30791,                0.15328,                 2.1369,                 2.7899,                 2.0157,                0.00802,                0.00802,                0.00802
                     63,                 1.7422,                 1.8326,                 1.8104,                0.49322,                0.30738,                0.29915,                0.13068,                  2.218,                 2.5297,                 2.0966,               0.007987,               0.007987,               0.007987
                     64,                 1.7219,                 1.8496,                   1.79,                0.52853,                0.34352,                 0.3804,                0.18318,                 2.0825,                 2.2025,                 2.0363,               0.007954,               0.007954,               0.007954
                     65,                 1.7149,                 1.8358,                 1.7855,                0.59552,                0.39423,                0.39634,                 0.1934,                 2.0644,                 2.2411,                 1.9727,               0.007921,               0.007921,               0.007921
                     66,                 1.7104,                 1.8118,                 1.7974,                0.58669,                0.41435,                0.40745,                0.21252,                  2.131,                 2.2557,                  2.024,               0.007888,               0.007888,               0.007888
                     67,                  1.694,                 1.8149,                 1.7775,                0.40995,                0.42418,                0.42736,                0.21458,                 2.0613,                 2.0692,                 2.0017,               0.007855,               0.007855,               0.007855
                     68,                  1.724,                 1.8084,                  1.777,                0.52175,                0.36588,                0.34125,                0.15835,                 2.1898,                 2.2962,                 2.0342,               0.007822,               0.007822,               0.007822
                     69,                 1.6717,                 1.7622,                 1.7754,                0.54347,                0.36813,                0.38757,                0.18304,                  2.113,                 2.1624,                 2.0132,               0.007789,               0.007789,               0.007789
                     70,                 1.6678,                 1.7428,                 1.7673,                0.59116,                0.40497,                0.42779,                0.21994,                 2.0003,                 2.0203,                 1.9491,               0.007756,               0.007756,               0.007756
                     71,                 1.7043,                 1.7607,                 1.7668,                0.52832,                0.39315,                0.38437,                0.18449,                 2.0848,                 2.2528,                 2.0128,               0.007723,               0.007723,               0.007723
                     72,                 1.6575,                 1.7282,                 1.7516,                 0.5862,                0.33619,                 0.3886,                0.19723,                  1.989,                 2.1695,                 1.9345,                0.00769,                0.00769,                0.00769
                     73,                 1.6679,                 1.7253,                 1.7598,                 0.5883,                0.36317,                0.36571,                0.18853,                 2.0452,                  2.193,                 1.9955,               0.007657,               0.007657,               0.007657
                     74,                 1.6607,                 1.7502,                 1.7583,                0.65725,                0.32934,                 0.3661,                0.17727,                 2.1294,                 2.2588,                 2.0316,               0.007624,               0.007624,               0.007624
                     75,                 1.6728,                 1.7501,                 1.7468,                0.56155,                0.36199,                0.36537,                0.18308,                 2.1528,                 2.2893,                 2.0211,               0.007591,               0.007591,               0.007591
                     76,                 1.6791,                 1.7829,                 1.7609,                0.28216,                0.33338,                0.31866,                0.16343,                 2.1255,                 2.5166,                 2.0414,               0.007558,               0.007558,               0.007558
                     77,                 1.6462,                 1.7142,                 1.7393,                0.31427,                0.40258,                 0.3558,                0.18057,                 2.0793,                 2.3258,                 2.0104,               0.007525,               0.007525,               0.007525
                     78,                 1.6581,                 1.7138,                 1.7255,                0.60501,                0.33421,                0.40603,                 0.1968,                 2.1015,                 2.2097,                 1.9683,               0.007492,               0.007492,               0.007492
                     79,                  1.658,                 1.6848,                  1.721,                0.58832,                0.39815,                0.40088,                0.18845,                 2.1111,                 2.1558,                 2.0278,               0.007459,               0.007459,               0.007459
                     80,                 1.6728,                 1.6949,                 1.7437,                0.41186,                0.40605,                0.40151,                0.20494,                 2.0607,                 2.1361,                 1.9964,               0.007426,               0.007426,               0.007426
                     81,                 1.6195,                 1.6845,                 1.7024,                 0.4038,                 0.3007,                0.35849,                 0.1847,                 2.1328,                 2.5856,                 2.0127,               0.007393,               0.007393,               0.007393
                     82,                 1.6094,                  1.674,                 1.6896,                0.40677,                0.34415,                0.36125,                 0.1785,                 2.0769,                 2.2598,                  1.988,                0.00736,                0.00736,                0.00736
                     83,                 1.6086,                  1.649,                 1.6817,                0.58117,                0.41994,                0.44322,                0.21527,                 2.0663,                 2.0894,                 1.9985,               0.007327,               0.007327,               0.007327
                     84,                 1.6228,                 1.6863,                 1.7152,                0.49911,                0.41831,                0.39201,                0.20897,                 2.0559,                 2.2092,                  1.999,               0.007294,               0.007294,               0.007294
                     85,                 1.6033,                 1.6556,                 1.6866,                0.68916,                0.40425,                0.48567,                0.25047,                 1.9688,                 2.0061,                 1.9342,               0.007261,               0.007261,               0.007261
                     86,                 1.5859,                 1.6832,                 1.7106,                0.55224,                0.48969,                0.46181,                0.23367,                 1.9804,                 1.9542,                 1.9396,               0.007228,               0.007228,               0.007228
                     87,                 1.6036,                 1.6237,                 1.6873,                0.38945,                0.47449,                0.41245,                0.20524,                 2.0437,                 2.1734,                 1.9604,               0.007195,               0.007195,               0.007195
                     88,                 1.5884,                  1.611,                  1.681,                 0.3761,                0.42727,                 0.3955,                0.19606,                 2.0017,                 2.2565,                 1.9563,               0.007162,               0.007162,               0.007162
                     89,                 1.5867,                 1.5957,                 1.6703,                 0.4185,                0.36117,                0.33748,                0.15641,                 2.3003,                  2.604,                 2.1752,               0.007129,               0.007129,               0.007129
                     90,                 1.6131,                 1.6312,                 1.6834,                0.58981,                0.42607,                0.41138,                0.19895,                 2.0419,                 2.1072,                 1.9839,               0.007096,               0.007096,               0.007096
                     91,                 1.5734,                 1.5957,                 1.6538,                0.66825,                0.37764,                0.41414,                0.19693,                 2.0429,                 2.1625,                 1.9719,               0.007063,               0.007063,               0.007063
                     92,                  1.582,                 1.6312,                 1.6643,                0.61396,                0.45918,                0.45971,                0.22492,                 2.0762,                 1.9958,                 2.0028,                0.00703,                0.00703,                0.00703
                     93,                 1.5696,                 1.5564,                 1.6347,                0.42362,                0.42981,                0.43169,                 0.2125,                 1.9999,                 1.9746,                 1.9668,               0.006997,               0.006997,               0.006997
                     94,                 1.5588,                 1.5985,                 1.6708,                0.33995,                0.40192,                0.33837,                0.18678,                 2.1505,                 2.7029,                 2.0454,               0.006964,               0.006964,               0.006964
                     95,                 1.5231,                 1.5697,                 1.6372,                0.34116,                0.42771,                0.38254,                 0.2065,                  1.999,                 2.2898,                 1.9652,               0.006931,               0.006931,               0.006931
                     96,                 1.5473,                 1.5638,                 1.6472,                0.46546,                0.34969,                0.39574,                0.21249,                 2.0566,                 2.2205,                 1.9745,               0.006898,               0.006898,               0.006898
                     97,                 1.5544,                 1.5681,                 1.6439,                0.61524,                0.34657,                0.39764,                0.19006,                 2.0936,                 2.2528,                 2.0012,               0.006865,               0.006865,               0.006865
                     98,                 1.5459,                  1.564,                 1.6403,                0.42186,                0.38638,                 0.4047,                0.21219,                 1.9656,                 2.2124,                 1.9525,               0.006832,               0.006832,               0.006832
                     99,                 1.5419,                 1.5531,                 1.6277,                 0.6312,                0.40683,                0.44377,                0.24748,                 1.9706,                 1.9817,                 1.9345,               0.006799,               0.006799,               0.006799
                    100,                 1.5439,                 1.5543,                 1.6205,                0.68941,                0.41565,                0.46738,                0.22735,                 2.0692,                 1.9975,                 2.0055,               0.006766,               0.006766,               0.006766
                    101,                 1.5111,                 1.5332,                 1.6093,                0.52545,                0.32787,                0.40463,                0.22483,                  2.089,                 2.3161,                 2.0082,               0.006733,               0.006733,               0.006733
                    102,                 1.5574,                 1.5404,                 1.6508,                0.46342,                0.39075,                0.41733,                0.23464,                 2.0117,                 2.0595,                 1.9682,                 0.0067,                 0.0067,                 0.0067
                    103,                  1.515,                 1.5116,                 1.6234,                0.49581,                0.47127,                0.45451,                0.24848,                 1.9311,                 2.0129,                 1.9551,               0.006667,               0.006667,               0.006667
                    104,                 1.4945,                 1.5113,                 1.6159,                0.36752,                0.37055,                0.36527,                0.18945,                 2.0237,                 2.3926,                 2.0099,               0.006634,               0.006634,               0.006634
                    105,                 1.5016,                 1.4581,                  1.606,                0.37749,                0.42986,                0.39311,                0.20132,                 2.0753,                 2.2143,                 2.0214,               0.006601,               0.006601,               0.006601
                    106,                 1.5394,                 1.5302,                 1.6183,                0.38269,                0.44182,                0.37999,                0.19044,                 2.0079,                 2.2404,                 1.9897,               0.006568,               0.006568,               0.006568
                    107,                 1.5034,                 1.4965,                  1.593,                0.45677,                0.37469,                0.41399,                 0.2223,                 1.9953,                  2.042,                 1.9815,               0.006535,               0.006535,               0.006535
                    108,                  1.499,                 1.5045,                 1.5906,                0.40325,                0.42188,                0.40772,                0.20372,                 2.0462,                 2.1856,                 2.0345,               0.006502,               0.006502,               0.006502
                    109,                 1.4884,                 1.4706,                    1.6,                0.44828,                0.46346,                0.43852,                0.23263,                 2.0351,                 2.0422,                 1.9814,               0.006469,               0.006469,               0.006469
                    110,                    1.5,                 1.4847,                 1.5981,                0.57516,                0.40694,                0.45714,                0.23984,                 2.0064,                 2.2124,                 2.0209,               0.006436,               0.006436,               0.006436
                    111,                 1.4913,                 1.4979,                 1.5998,                0.52682,                0.38411,                0.43514,                0.22996,                 2.0249,                 2.1824,                 2.0387,               0.006403,               0.006403,               0.006403
                    112,                 1.4665,                  1.475,                 1.5675,                0.48828,                0.34153,                0.39874,                0.22051,                 2.0234,                 2.1672,                 2.0358,                0.00637,                0.00637,                0.00637
                    113,                   1.46,                 1.4573,                 1.5652,                0.43895,                 0.4206,                 0.4129,                0.21513,                   2.03,                 2.1336,                 1.9632,               0.006337,               0.006337,               0.006337
                    114,                 1.4907,                 1.4705,                 1.5881,                0.42017,                0.38724,                0.40069,                 0.1984,                 2.0601,                 2.0714,                  2.001,               0.006304,               0.006304,               0.006304
                    115,                 1.4681,                  1.472,                 1.5726,                0.51474,                0.39704,                0.43257,                0.23916,                 1.9781,                 2.0904,                 1.9298,               0.006271,               0.006271,               0.006271
                    116,                 1.4584,                 1.4587,                 1.5735,                0.55115,                0.42421,                0.45271,                0.23843,                 2.0148,                 2.0216,                 1.9644,               0.006238,               0.006238,               0.006238
                    117,                 1.4576,                 1.4653,                 1.5673,                0.56575,                0.36074,                0.42929,                0.22335,                 2.0413,                 2.2396,                 1.9859,               0.006205,               0.006205,               0.006205
                    118,                  1.464,                 1.4345,                 1.5572,                0.52847,                0.31388,                0.39832,                0.18653,                  2.118,                 2.3065,                 2.0243,               0.006172,               0.006172,               0.006172
                    119,                 1.4725,                  1.448,                 1.5745,                0.45271,                0.38396,                0.39926,                0.17889,                 2.1524,                 2.2422,                 2.0805,               0.006139,               0.006139,               0.006139
                    120,                 1.4326,                 1.3972,                 1.5369,                0.44688,                0.33462,                0.37708,                0.20301,                 2.0281,                 2.3832,                 1.9909,               0.006106,               0.006106,               0.006106
                    121,                 1.4661,                 1.4405,                 1.5749,                0.62226,                0.39453,                0.45558,                  0.242,                 1.9571,                 2.0458,                  1.922,               0.006073,               0.006073,               0.006073
                    122,                 1.4362,                 1.4063,                 1.5551,                0.53001,                0.33697,                0.39794,                0.22088,                 2.0353,                 2.0496,                 1.9656,                0.00604,                0.00604,                0.00604
                    123,                 1.4396,                 1.4082,                 1.5606,                0.56901,                0.40447,                 0.4498,                0.22004,                 2.0514,                 2.0871,                 1.9499,               0.006007,               0.006007,               0.006007
                    124,                 1.4205,                 1.3794,                 1.5279,                0.42043,                0.42816,                0.40091,                0.19188,                 2.0667,                 2.1458,                   1.98,               0.005974,               0.005974,               0.005974
                    125,                 1.4081,                 1.3776,                 1.5158,                0.50102,                0.39363,                0.42519,                 0.2249,                 1.9164,                 2.2266,                 1.9424,               0.005941,               0.005941,               0.005941
                    126,                 1.4493,                 1.4172,                  1.569,                0.49207,                0.39147,                0.42755,                 0.2262,                 1.9712,                 2.1065,                 1.9601,               0.005908,               0.005908,               0.005908
                    127,                 1.4293,                 1.3869,                 1.5433,                0.46361,                0.40221,                0.40576,                0.20965,                 1.9821,                 2.1729,                   1.95,               0.005875,               0.005875,               0.005875
                    128,                 1.3951,                  1.368,                 1.5223,                0.51613,                0.43053,                0.45165,                0.23162,                 2.0015,                 2.1085,                 1.9671,               0.005842,               0.005842,               0.005842
                    129,                  1.403,                 1.3281,                  1.517,                 0.4573,                0.34973,                0.36542,                0.17817,                 2.0973,                 2.3757,                 2.0357,               0.005809,               0.005809,               0.005809
                    130,                 1.3867,                 1.3697,                  1.525,                0.29401,                0.34017,                0.31469,                0.16195,                  2.142,                 2.7071,                 2.1094,               0.005776,               0.005776,               0.005776
                    131,                 1.4252,                 1.3872,                 1.5346,                0.41306,                0.30071,                0.31619,                 0.1701,                 2.1348,                 2.5087,                 2.0823,               0.005743,               0.005743,               0.005743
                    132,                 1.3999,                 1.3438,                 1.5138,                0.48706,                0.33474,                0.36668,                 0.1969,                 2.0662,                  2.275,                 2.0318,                0.00571,                0.00571,                0.00571
                    133,                 1.3874,                 1.3515,                 1.5124,                0.38343,                0.37594,                0.37416,                0.20392,                 2.0399,                 2.1924,                  2.011,               0.005677,               0.005677,               0.005677
                    134,                 1.3633,                 1.3423,                 1.5002,                0.49968,                0.46731,                0.48097,                0.24379,                 2.0808,                 2.1378,                  2.052,               0.005644,               0.005644,               0.005644
                    135,                 1.4107,                 1.3589,                 1.5286,                0.42762,                0.41126,                0.41599,                0.22731,                  2.035,                 2.0586,                  1.966,               0.005611,               0.005611,               0.005611
